osm_id,code,fclass,width,name
44571449,8101,river,0,Subarnarekha River
44582533,8101,river,0,Koel River
44582534,8101,river,0,Koel River
44582574,8101,river,0,Brahmani
44582590,8101,river,0,Kurhadi
44582955,8101,river,0,Gohira
44583139,8101,river,0,Brahmani
44583378,8101,river,0,Sankh River
44584034,8101,river,0,Tikra
44584170,8101,river,0,Mahanadi
44585539,8101,river,0,Tel River
44585540,8101,river,0,Suk Tel
44585740,8101,river,0,Tel River
44590054,8101,river,0,Samardarha Nadi
44591999,8101,river,0,Kelo
44594157,8101,river,0,Jonk
44599850,8101,river,0,Ong River
44947305,8101,river,0, 
44948164,8101,river,0,Birupa
45009814,8101,river,0, 
45009817,8101,river,0, 
45029026,8101,river,0, 
45029114,8101,river,0,Sileru
51775854,8101,river,0,Sabari
51775859,8101,river,0,Sileru
51775883,8101,river,0,Sabari
76765881,8101,river,0,Malti Jore River
76765933,8101,river,0,Harad
76766418,8101,river,0,Malti Jore River
77348190,8101,river,0,Devi River
77348377,8101,river,0,Mahanadi
77348432,8101,river,0,Mahanadi
77348680,8101,river,0,Mahanadi
77348840,8101,river,0,Mahanadi
77349101,8101,river,0, 
77349115,8101,river,0, 
77349116,8101,river,0, 
77349440,8101,river,0, 
77349637,8101,river,0, 
77349668,8101,river,0,Devi River
77349725,8101,river,0,Kathajodi
77349732,8101,river,0, 
77349759,8101,river,0, 
77349844,8101,river,0, 
77349897,8101,river,0, 
77349958,8101,river,0, 
77351375,8101,river,0,Mahanadi
77351391,8101,river,0,Mahanadi
77351404,8101,river,0, 
77351455,8101,river,0, 
77351617,8101,river,0, 
77351726,8101,river,0, 
77352000,8101,river,0,Kharasrota
77354941,8101,river,0,Keula
77354942,8101,river,0,Kharsua River
77354944,8101,river,0,Baitarani
77354946,8101,river,0,Matai River
77354947,8101,river,0, 
77354950,8101,river,0,Dhambra River
77354951,8101,river,0,Burha
77354953,8101,river,0, 
77354956,8101,river,0,Brahmani
77354958,8101,river,3000,Brahmani
77354961,8101,river,0,Kharsua River
77354962,8101,river,0,Dhambra River
77354966,8101,river,0,Brahmani
77354978,8101,river,0,Kharsua River
77354979,8101,river,0,Nandir
77354987,8101,river,0,Brahmani River
77354991,8101,river,0, 
77354995,8101,river,0,Brahmani
77354998,8101,river,0,Baitarani
77355001,8101,river,0,Brahmani
86201460,8101,river,0, 
86201464,8101,river,0, 
90606911,8101,river,0, 
90851995,8101,river,0,Mahanadi
111811811,8101,river,0,Dhaudia River
126683646,8101,river,0,Budhabalanga
126683686,8101,river,0,Budhabalanga
126683728,8101,river,0,Budhabalanga
126683745,8101,river,0, 
126683755,8101,river,0,Budhabalanga
130590475,8101,river,0,Udanti
130590494,8101,river,0,Tel River
135882498,8101,river,0, 
135887419,8101,river,0,Naragula Nala
135954274,8101,river,0,Sileru River
136160589,8101,river,0,Mahanadi
136160633,8101,river,0, 
136160778,8101,river,0,Vamsadhara
136162474,8101,river,0,Ketanga
136162476,8101,river,0,Baitarani
136162478,8101,river,0,Kongira
150106347,8101,river,0, 
150893577,8101,river,0, 
150919272,8101,river,0,Betna
150919286,8101,river,0,Hathibura
158312290,8101,river,0,Tel River
158312323,8101,river,0, 
158312344,8101,river,0, 
158312356,8101,river,0,Oilar Jhor
158875975,8101,river,0, 
160442126,8101,river,0, 
160442275,8101,river,0, 
164569997,8101,river,0,Janjhavathi
166334622,8101,river,0,Birupa
166334630,8101,river,0,Mahanadi
166334667,8101,river,0, 
166334670,8101,river,0,Baitarani
166334689,8101,river,0, 
166337291,8101,river,0,Mandagini
166337293,8101,river,0, 
166337297,8101,river,0, 
166337298,8101,river,0,Bhargabi River
166337299,8101,river,0,Rushikulya
166337301,8101,river,0,River Rushikulya
166337304,8101,river,0, 
166337306,8101,river,0,River Rushikulya
169834009,8101,river,0,Duanta
169844913,8101,river,0,Salandi
169844919,8101,river,0,Budhabalanga River
169844957,8101,river,0,Subarnarekha River
169844964,8101,river,0,Salandi
169844980,8101,river,0, 
173682706,8101,river,0, 
173788185,8101,river,0,Mahanadi
173788196,8101,river,0,Tel River
173788208,8101,river,0, 
173788209,8101,river,0,Salki
173788210,8101,river,0, 
173788214,8101,river,0,Surubali Jhor
173788220,8101,river,0,Koaogo
173788222,8101,river,0, 
173788223,8101,river,0, 
173788224,8101,river,0,Deo
173788225,8101,river,0,Sindol Jhor
175447629,8101,river,0,Ib River
175447632,8101,river,0,Ib River
177572844,8101,river,0,Nigra
177903763,8101,river,0, 
178644290,8101,river,0,Mahanadi
178645014,8101,river,0,Mahanadi
178744023,8101,river,0, 
178744035,8101,river,0,Mushala
178744040,8101,river,0,Kalinjar
178746737,8101,river,0,Brahmani
178746771,8101,river,0,Ramlala
178746776,8101,river,0,Gobari
196541127,8101,river,0, 
196558459,8101,river,0, 
202717585,8101,river,0,Kundra
203156639,8101,river,0, 
206372311,8101,river,0,Subarnarekha River
206866238,8101,river,0,Brahmani
230716673,8101,river,0, 
230746966,8101,river,0, 
231121737,8101,river,0,Golagarh Nala
231121740,8101,river,0, 
235038755,8101,river,0,Kolār Nadi
237144640,8101,river,0,Chirār Nadi
237295233,8101,river,0,Ghensnāli Jhor
237295234,8101,river,0,Ghensnāli Jhor
237295235,8101,river,0,Utāli Jhor
237295236,8101,river,0,Utāli Jhor
238098540,8101,river,0,River Ghodahada
243702618,8101,river,0,Ong River
243702620,8101,river,0,Utāli Jhor
243702626,8101,river,0,Utāli Jhor
244073039,8101,river,0,Ong River
244330127,8101,river,0,Baila Katta
244685247,8101,river,0,Potemkonda
244685251,8101,river,0,Potemkonda
244685252,8101,river,0, 
244695339,8101,river,0,Jora
244695343,8101,river,0, 
245177527,8101,river,0,Bajor
245177538,8101,river,0,Kulari Jor
245182187,8101,river,0,Lebedih Nadi
245182188,8101,river,0,Kuliari Nadi
245183723,8101,river,0,Nalia Nadi
245185694,8101,river,0,Malken Nadi
245188355,8101,river,0,Kumre Nadi
245188358,8101,river,0,Bondesara Nadi
245188359,8101,river,0,Devmohini
245676190,8101,river,0,Ong River
245676191,8101,river,0,Bhandāri Jhor
245676192,8101,river,0,Ong
245676193,8101,river,0,Bhainsmura Nadi
245677547,8101,river,0, 
246496314,8101,river,0,Indravati
246505775,8101,river,0,Chauki
246505776,8101,river,0,Chauki
246511682,8101,river,0, 
246515321,8101,river,0,Jīra River
246515342,8101,river,0, 
246515354,8101,river,0,Jīra River
246515362,8101,river,0,Jīra River
246523439,8101,river,0,Āb Khol Nadi
246523446,8101,river,0,Dānta River
246523451,8101,river,0,Dānta River
246523455,8101,river,0,Danta
246523459,8101,river,0,Dānta River
246523461,8101,river,0,Dānta River
246531076,8101,river,0, 
246531082,8101,river,0, 
246531083,8101,river,0,Matwāli Jhor
246533661,8101,river,0,Rānj Jhor
246533662,8101,river,0,Rānj Jhor
246533663,8101,river,0,Rānj Jhor
246538485,8101,river,0,Rānj Jhor
246538487,8101,river,0,Rānj Jhor
246538488,8101,river,0,Burgar Nadi
246752755,8101,river,0, 
247018885,8101,river,0, 
247038538,8101,river,0, 
247038557,8101,river,0, 
247038594,8101,river,0, 
247054106,8101,river,0, 
247054109,8101,river,0, 
247201317,8101,river,0,Jīra River
247201319,8101,river,0,Jīra River
247201322,8101,river,0,Jasra Nadi
247201323,8101,river,0,Rānj Jhor
247205527,8101,river,0,Girisul Jhor
247205528,8101,river,0,Jīra River
247205529,8101,river,0,Girisul Jhor
247205531,8101,river,0,Kuliāri Jhor
247205532,8101,river,0,Girisul Jhor
247459467,8101,river,0, 
247459469,8101,river,0, 
247475643,8101,river,0, 
247475680,8101,river,0, 
247586379,8101,river,0, 
247586395,8101,river,0, 
247586417,8101,river,0, 
247586420,8101,river,0, 
247586421,8101,river,0, 
247873904,8101,river,0, 
247873909,8101,river,0, 
247873916,8101,river,0, 
247891292,8101,river,0,Jhaun Jhor
247891298,8101,river,0,Khurjhura
247895174,8101,river,0,Jhul Jhor
247895175,8101,river,0,Jhul Jhor
247895176,8101,river,0, 
247896805,8101,river,0,Harihar Jhor
247896806,8101,river,0,Harihar Jhor
248782543,8101,river,0, 
250254353,8101,river,0,Lakshmi Jor
250254355,8101,river,0, 
250254356,8101,river,0,Jalbana
250254357,8101,river,0, 
250254358,8101,river,0, 
250254359,8101,river,0,Lakshmi Jor
250254361,8101,river,0, 
250254362,8101,river,0,Nibruti
250254363,8101,river,0, 
250451446,8101,river,0, 
250451450,8101,river,0,Katangi
250451451,8101,river,0,Suk Tel
250451453,8101,river,0,Suk Tel
250451454,8101,river,0,Suk Tel
250451455,8101,river,0, 
250451456,8101,river,0,Suk Tel
250451457,8101,river,0, 
250470201,8101,river,0, 
250470202,8101,river,0,Kora
250470203,8101,river,0, 
250470204,8101,river,0, 
250470205,8101,river,0,Jamjori
250470206,8101,river,0, 
250470207,8101,river,0,Jamjori
250470208,8101,river,0, 
250470209,8101,river,0, 
250470210,8101,river,0, 
250470211,8101,river,0, 
250470212,8101,river,0,Jamjori
251255229,8101,river,0, 
251255232,8101,river,0,Lant
251255239,8101,river,0, 
251255245,8101,river,0, 
251255246,8101,river,0,Lant
251255247,8101,river,0, 
251255255,8101,river,0, 
251255265,8101,river,0,Lant
251255284,8101,river,0, 
251255287,8101,river,0,Lant
251255295,8101,river,0, 
252158045,8101,river,0, 
252158046,8101,river,0, 
252158049,8101,river,0,Sengodi
252158050,8101,river,0, 
252158051,8101,river,0, 
252158052,8101,river,0, 
252158053,8101,river,0, 
252158054,8101,river,0, 
252158055,8101,river,0,Sengodi
252165002,8101,river,0, 
252165004,8101,river,0, 
252165005,8101,river,0, 
252165006,8101,river,0,Sengodi
252165007,8101,river,0, 
252637963,8101,river,0, 
252637964,8101,river,0,Raul
253063885,8101,river,0, 
253063886,8101,river,0, 
253063887,8101,river,0,Raul
253464461,8101,river,0, 
253776390,8101,river,0,Barabailat
253776391,8101,river,0,Chilari
253978283,8101,river,0, 
254130041,8101,river,0,Māhra Nadi
254130042,8101,river,0,Sundar
254130980,8101,river,0,Tikhur Nadi
254378970,8101,river,0, 
255064998,8101,river,0, 
255071827,8101,river,0,Meherani
255074123,8101,river,0,Bagh
255074391,8101,river,0,Karandi Jhor
259200427,8101,river,0, 
259784674,8101,river,0,Mano Jhor
261207434,8101,river,0, 
262423491,8101,river,0,Kharkai
262526277,8101,river,0,Sankh River
263231678,8101,river,0,Sapai
263231681,8101,river,0,Ib River
263258319,8101,river,0,Kharla
263258320,8101,river,0,Bhedan
263258323,8101,river,0,Bank Noi
263262980,8101,river,0,Baitarani
263262981,8101,river,0,Baitarani
263262984,8101,river,0,Baitarani
263262985,8101,river,0,Baitarani
263269891,8101,river,0, 
263282653,8101,river,0, 
263282654,8101,river,0, 
263705826,8101,river,0, 
263842522,8101,river,0,Deo
263998282,8101,river,0,Sabari
264341299,8101,river,0,Narangi
264724376,8101,river,0, 
264756723,8101,river,0, 
264940776,8101,river,0,Jonk River
269047360,8101,river,0,Parba Nadi
269047371,8101,river,0,Khatma
269491348,8101,river,0,Pichhra
269491350,8101,river,0,Bajor
269491985,8101,river,0, 
269491986,8101,river,0,Nakti Jhor
269525497,8101,river,0,Chhinda nadi
269525500,8101,river,0,Chinda
269835766,8101,river,0,Ib River
269909134,8101,river,0,Bandajor
269909135,8101,river,0,Saraswati
269909136,8101,river,0,Utial
269909149,8101,river,0,Tamga
269909151,8101,river,0,Tamga
269913766,8101,river,0,Thella
269913771,8101,river,0,Telen
269913776,8101,river,0,Ichha
269913782,8101,river,0,Basundhari
269913786,8101,river,0,Hathia
269939541,8101,river,0,Sankha Bhangan
271221238,8101,river,0,Jonk
273118020,8101,river,0, 
273118034,8101,river,0,Turi
273118070,8101,river,0,Guntal
273118075,8101,river,0, 
273125658,8101,river,0, 
273125689,8101,river,0, 
273132964,8101,river,0,Bhaskel
273132965,8101,river,0,Jouranala
273328534,8101,river,0, 
273328539,8101,river,0, 
273334676,8101,river,0, 
273334687,8101,river,0,Korandi
273461253,8101,river,0, 
273545343,8101,river,0, 
274106836,8101,river,0, 
274106837,8101,river,0,Aunli
274106842,8101,river,0,Champal
274106854,8101,river,0,Tikra
274106863,8101,river,0,Tikra
274106885,8101,river,0,Aunli
274114859,8101,river,0, 
274114955,8101,river,0,Arkhai
274255377,8101,river,0,Surangi Nadī
274365545,8101,river,0, 
274365546,8101,river,0, 
274365547,8101,river,0,Pada
274365548,8101,river,0, 
274365549,8101,river,0,Medalghat
274365557,8101,river,0, 
274365563,8101,river,0,Bal Jhor
274511296,8101,river,0,Talda
297607762,8101,river,0, 
297607763,8101,river,0, 
297607764,8101,river,0, 
314064350,8101,river,0, 
315464450,8101,river,0, 
319224246,8101,river,0, 
319224247,8101,river,0,Vamsadhara
319224248,8101,river,0, 
319224254,8101,river,0,Vamsadhara
319228216,8101,river,0, 
319229375,8101,river,0, 
319229381,8101,river,0, 
319233939,8101,river,0, 
319233940,8101,river,0, 
319241900,8101,river,0,Sileru
319313672,8101,river,0, 
319313673,8101,river,0, 
319313674,8101,river,0, 
319318521,8101,river,0,Salandi
319324268,8101,river,0,Kusai
319326841,8101,river,0,Nigra
320474721,8101,river,0,Pila Salki
322725082,8101,river,0,Mahanadi
322725083,8101,river,0,Mahanadi
322725084,8101,river,0,Mahanadi
322730723,8101,river,0, 
322812514,8101,river,0, 
322931801,8101,river,0,Devi River
322931802,8101,river,0,Devi River
324731031,8101,river,0, 
324871597,8101,river,0, 
324871613,8101,river,0,Nagavali
324949540,8101,river,0,Suvarnamukhi
324951924,8101,river,0,Suvarnamukhi
324966269,8101,river,0,Vamsadhara
324966284,8101,river,0,Vamsadhara
324966290,8101,river,0,Vamsadhara
324966295,8101,river,0,Vamsadhara
324966301,8101,river,0,Vamsadhara
324977315,8101,river,0, 
324979606,8101,river,0,Vamsadhara
326084664,8101,river,0,Biropa
326098693,8101,river,0, 
326108903,8101,river,0, 
326131197,8101,river,0,Aunli
326131198,8101,river,0, 
326131205,8101,river,0,Nigra
326141478,8101,river,0, 
326141479,8101,river,0,Gobari
326151776,8101,river,0,Birupa
326151779,8101,river,0, 
326151782,8101,river,0, 
326151785,8101,river,0, 
326193789,8101,river,0,Mahanadi River
326198319,8101,river,0,Luna
326217880,8101,river,0,Devi River
326221630,8101,river,0, 
326278310,8101,river,0, 
326323396,8101,river,0, 
326333142,8101,river,0,Sandul
326333143,8101,river,0,Sengodi
326333146,8101,river,0,Utai
326337440,8101,river,0, 
326353222,8101,river,0,Hatti
326355656,8101,river,0, 
326356727,8101,river,0, 
